construction_type_name,u_w_per_m2_k,description_x,material_opaque_id_layers,description_y
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",1,gypsum wallboard 0.5 in thick
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",138,"Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",3,polyethylene 4 ml vapour barrier
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",4,"foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",5,"plywood sheathing, CDX, 0.5 in, pneumatic nailer"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",6,"weather barrier, spunbonded polyethylene"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",24,"Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",25,"masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",26,masonry #5 and #6 reinforcing bars placed vertically
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",27,"Control joint, PVC"
BTAP-ExteriorWall-Mass-1,0.31446540880503143,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",28,"Grout, 8"" thick including pumping"
BTAP-ExteriorWall-Mass-1,0.2777777777777778,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",1,gypsum wallboard 0.5 in thick
BTAP-ExteriorWall-Mass-1,0.2777777777777778,"Concrete Block Wall, Regular Weight 6 x 8 x 16 Hollow Core, 2000 PSI, Reinforced and Grouted with Insulated 2 x 6 Wooden Stud Wall",138,"Wood framing, partitions, standard & better lumber, 2\"" x 6\"" studs, 16\"" O.C., 10' high, includes single bottom plate and double top plate"
