materials_opaque_id,description,source,type,material_type,catalog_id,id,unit,province-state,city,year,material_cost,labour_cost,equipment_cost
157,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 12"" thick, including spring type wire with fasteners",rs-means,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72116103030,ft2,British Columbia,Vancouver ,2022,1.66,1.06,
158,"Blanket Inuslation for floors/ceilings, fibreglass, unfaced, 1 side, 3.5"" thick, including spring type wire with fasteners",rs-means,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72116103000,ft2,British Columbia,Vancouver ,2022,0.54,0.75,
159,"roof deck extruded polystyrene, 3"" (R15), 25 PSI modifed to 2x4"" sheets ",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72216101944,ft2,British Columbia,Vancouver ,2022,2.29,0.31,
160,"Sprayfoam- 2lb closed cell, 4"" thick",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72129100340,ft2,British Columbia,Vancouver ,2022,2.81,0.71,0.44
161,"Mineral wool board, rigid, 1"" thick",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72113102680,ft2,British Columbia,Vancouver ,2022,0.7,0.56,
162,"Mineral wool board, rigid, 2"" thick",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72113102700,ft2,British Columbia,Vancouver ,2022,1.54,0.62,
163,"Mineral wool board, rigid, 4"" thick",,Unit,opaque,"estimated & extrapolated, based on supply costs",7,ft2,British Columbia,Vancouver ,2022,2.2,0.7,
164,"Mineral wool board, rigid, 6"" thick",,Unit,opaque,"estimated & extrapolated, based on supply costs",7,ft2,British Columbia,Vancouver ,2022,2.9,0.75,
165,"Mineral wool board, rigid, 8"" thick",,Unit,opaque,"estimated & extrapolated, based on supply costs",7,ft2,British Columbia,Vancouver ,2022,3.6,0.8,
166,"Precast wall panel, 8x16, 4"" thick, uninsulated",,Assembly,opaque,"RS Means Online, MasterFormat 2018 US National",34513500700,ft2,British Columbia,Vancouver ,2022,32.5,5.75,3.11
167,"Precast wall panel, add for 2"" polystyrene",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",34513500800,ft2,British Columbia,Vancouver ,2022,1.45,0.0,
168,"Mineral wool batt, 4"" thick, R20",,Unit,opaque,"estimated & extrapolated, based on supply costs",7,ft2,British Columbia,Vancouver ,2022,1.67,0.56,
169,"Precast wall panel, add for 3"" polystyrene",,Unit,opaque,"estimated & extrapolated, based on supply costs",3,ft2,British Columbia,Vancouver ,2022,2.18,0.0,
170,"Precast wall panel, add for 4"" polystyrene",,Unit,opaque,"estimated & extrapolated, based on supply costs",3,ft2,British Columbia,Vancouver ,2022,2.95,0.0,
171,"exterior gypsum sheahting, 1/2"" thick, weatherproof, glass mat facer",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",61643100040,ft2,British Columbia,Vancouver ,2022,0.62,0.82,
172,"self-adhered SBS Air/vapour/moisture barrier, 36"" wide with adhesive",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72713100100,ft2,British Columbia,Vancouver ,2022,0.32,0.7,
173,"Poly Iso Wall Board, 2"" thick",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72113101660,ft2,British Columbia,Vancouver ,2022,1.11,0.62,
174,"Poly Iso wallboard, 4"" thick",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",72113101680,ft2,British Columbia,Vancouver ,2022,2.66,0.62,
175,"galv. 2.5"" SS, LB Metal stud framing, stud wall top & bottom, no openings, 2x2.5"", 8 ft at 16"" o/c",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",54113304110,ft2,British Columbia,Vancouver ,2022,6.45,11.7,
176,"Flynn speedwall system- 6"" Quadcore",,Assembly,opaque,from trade,5,ft2,British Columbia,Vancouver ,2022,120.0,0.0,
177,"Flynn speedwall system- 6"" Quadcore + batt",,Assembly,opaque,from trade,5,ft2,British Columbia,Vancouver ,2022,124.0,0.0,
178,"4"" brick veneer w/ galvanized brick ties, galv. Steel shelf angles, lintels. ",,Assembly,opaque,from trade,4,ft2,British Columbia,Vancouver ,2022,65.0,0.0,
179,"4"" brick veneer w/ stainless steel brick ties, galv. Steel shelf angles, lintels. ",,Assembly,opaque,from trade,4,ft2,British Columbia,Vancouver ,2022,72.0,0.0,
180,"metal panels, mid-range, standard colour, excludes perimeter/transition sealants.",,Unit,opaque,from trade,5,ft2,British Columbia,Vancouver ,2022,55.0,0.0,
181,"Ejot Thermal Clips- 2.5"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,3.5,2.0,
182,"Ejot Thermal Clips- 4.5"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,7.0,2.0,
183,"Ejot Thermal Clips- 6.5"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,7.75,2.0,
184,"Ejot Thermal Clips- 7.5"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,8.5,2.0,
185,"Ejot Thermal Clips- 8.5"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,9.0,2.0,
186,"Ejot Thermal Clips- 11"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,12.75,2.0,
187,"Ejot Thermal Clips- 13"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,16.3,2.0,
188,"Ejot Thermal Clips- 16"" per piece",,Unit,opaque,from supplier & estimated labour rate,7,ft2,British Columbia,Vancouver ,2022,18.7,2.0,
189,Fero-fast offset bracket c/w ledger angle,,Unit,opaque,from trade,5,ft,British Columbia,Vancouver ,2022,75.0,0.0,
190,"wood framed attic rafter vent baffles, 22x48,",,Unit,opaque,from supplier,6,each,British Columbia,Vancouver ,2022,4.0,0.75,
191,"Structural steel column, 4"" diam, shop fab'd 100 ton (1-2 storey structural steel building).",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",51223170830,ft,British Columbia,Vancouver ,2022,60.0,4.4,3.18
192,"XPS 2"", concrete faced insulation panel 2x4ft",,Unit,opaque,from supplier,7,each,British Columbia,Vancouver ,2022,30.0,0.5,
193,"cast in place concrete forming, per Sqft. concrete area, based on a wall",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",31113852150,SFCA,British Columbia,Vancouver ,2022,1.57,5.2,
194,"cast in place concrete footing, reinforced strip footin 20x10"", placing and finishing",,Unit,opaque,"RS Means Online, MasterFormat 2018 US National",33053403930,yd3,British Columbia,Vancouver ,2022,218.0,151.0,0.7
195,"Precast panel,  complete with X-Connectors (FRP) at 16""x32"" spacing, w 8"" of XPS Insulation",,Assembly,opaque,estimated,3,ft2,British Columbia,Vancouver ,2022,52.65,5.75,3.11
196,"5/8"" inch galvanized steel hat tracks, 12ft long modified to sqft wall area (assuming every other stud)",,Unit,opaque,from supplier,5,ft2,British Columbia,Vancouver ,2022,0.40625,0.25,
197,"stainless steel brick ties (Hohmann & Barnard Masonry Stainless Steel 2-Seal Thermal Wing Nut Anchor)- up to 4"", 32x24"" spacing",,Unit,opaque,estimated,4,ft2,British Columbia,Vancouver ,2022,0.9433962264150944,1.0,
198,"stainless steel brick ties (Hohmann & Barnard Masonry Stainless Steel 2-Seal Thermal Wing Nut Anchor)- up to 8"", 32"" x 24"" spacing",,Unit,opaque,estimated,4,ft2,British Columbia,Vancouver ,2022,1.3207547169811322,1.0,
199,"wood nailing strip/strapping, 1""x1""x8' . Estimated to be similar to wood strapping",,Unit,opaque,estimated,6,ft2,British Columbia,Vancouver ,2022,0.38,0.25,
200,"galvanized steel brick ties, up to 4"", 32x24"" spacing",,Unit,opaque,estimated,4,ft2,British Columbia,Vancouver ,2022,0.18761726078799248,1.0,
201,"galvanized steel brick ties, up to 8"", 32x24"" spacing",,Unit,opaque,estimated,4,ft2,British Columbia,Vancouver ,2022,0.37523452157598497,1.0,
202,"1.5"" steel stud, non load bearing, installed, modified to sqft wall area",,Unit,opaque,estimated based on RS Means,5,ft2,British Columbia,Vancouver ,2022,0.375,1.5,
203,"3' x 20' long 26 guage painted wall panel, modified to sqft",,Unit,opaque,estimated based on supplier,5,ft2,British Columbia,Vancouver ,2022,3.1,5.0,
204,"ZEE girt member, 16"" gauge, 25' long  isntalled at 2ft o/c vert., modified to sqft",,Unit,opaque,estimated based on supplier,5,ft2,British Columbia,Vancouver ,2022,2.8,1.0,
205,"thermal tape and insulation break for metal sheet walls, at 2ft o/c vert.",,Unit,opaque,estimated,7,ft2,British Columbia,Vancouver ,2022,0.5,0.25,
206,generic structural thermal break for reinforcing steel in concrete parapet,,unit,opaque,from trade,3,ft,British Columbia,Vancouver ,2022,200.0,0.0,
